archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer;coincidencia_titulo
D:\Dropbox\TDJ\MUSICA\Eduardo\4\Milonga Del 900   1 - Mono177.mp3;Milonga del novecientos;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1933;1933-05-08;tango milonga;tango milonga;Musica: Sebastián Piana - Letra: Homero Manzi;Musica: Sebastián Piana - Letra: Homero Manzi;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\4\Milonga Del 900 RR 1 - esu320(128) o.mp3;Milonga del novecientos;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1933;1933-05-08;tango milonga;tango milonga;Musica: Sebastián Piana - Letra: Homero Manzi;Musica: Sebastián Piana - Letra: Homero Manzi;6.0
D:\Dropbox\TDJ\MUSICA\Edmundo\Canaro\Francisco Canaro, Ernesto Famá - Canto (2).flac;Canto;Canto;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1934-01-30;1934-03-27;tango;tango;Musica: Mario Battistella - Letra: Mario Battistella;Musica: Mario Battistella - Letra: Mario Battistella;6.0
D:\Dropbox\TDJ\MUSICA\Camilo Gatica\Ignacio Corsini\EBCD-124 - Ignacio Corsini - Un jardín de ilusión (1934-1942)\14.Francisco Canaro & Ivo Pelay - Un Jardin de Ilusion (13-06-1934).flac;Un jardín de ilusión;Un jardín de ilusión;Francisco Canaro;Francisco Canaro;Ernesto Famá y Ada Falcón;Ernesto Famá y Ada Falcón;1934-06-13;1934-05-04;tango vals;tango vals;Musica: Francisco Canaro - Letra: Ivo Pelay;Musica: Francisco Canaro - Letra: Ivo Pelay;6.0
D:\Dropbox\TDJ\MUSICA\Camilo Gatica\Ignacio Corsini\EBCD-124 - Ignacio Corsini - Un jardín de ilusión (1934-1942)\15.Francisco Canaro & Ivo Pelay - Yo no se por qué te quiero (13-06-1934).flac;Yo no sé por qué te quiero;Yo no sé por qué te quiero;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1934-06-13;1934-05-04;tango;tango;Musica: Francisco Canaro - Letra: Ivo Pelay;Musica: Francisco Canaro - Letra: Ivo Pelay;6.0
D:\Dropbox\TDJ\MUSICA\Edmundo\Canaro\Mi+noche+triste+8633_RP.flac;Mi noche triste;Mi noche triste;Francisco Canaro;Francisco Canaro;Roberto Maida;Roberto Maida;1936;1936-07-14;tango;tango;Aut: Pascual Contursi, Com: Samuel Castriota;Musica: Samuel Castriota - Letra: Pascual Contursi;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Francisco Canaro - (1937-1939)\02.José Domingo Pécora - Pura milonga (10-08-1937).flac;Pura milonga;Pura milonga;Francisco Canaro;Francisco Canaro;;;1937-08-10;1937-08-10;tango;tango;;Musica: Mario Canaro;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Francisco Canaro - (1937-1939)\05.Francisco Pracánico & Enrique Santos Discépolo - Condena (08-11-1937).flac;Condena (S.O.S.);Condena (S.O.S.);Francisco Canaro;Francisco Canaro;;Roberto Maida;1937-11-08;1937-11-08;tango;tango;Musica: Enrique Santos Discépolo y Francisco Pracánico - Letra: Enrique Santos Discépolo;Musica: Enrique Santos Discépolo y Francisco Pracánico - Letra: Enrique Santos Discépolo;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Francisco Canaro - (1937-1939)\01.Francisco Canaro & Juan Andrés Caruso - Cara sucia (06-08-1937).flac;Cara sucia;Cara sucia;Francisco Canaro;Francisco Canaro;Roberto Maida;Roberto Maida;1937-08-06;1937-07-06;tango;tango;Aut: Juan Andrés Caruso, Com: Francisco Canaro;Musica: Francisco Canaro - Letra: Juan Andrés Caruso;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Francisco Canaro - (1937-1939)\09.Eduardo Arolas - Retintin (24-03-1938).flac;Retintín;Retintín;Francisco Canaro;Francisco Canaro;;;1938-03-24;1938-03-24;tango;tango;;Musica: Eduardo Arolas - Letra: Gabriel Clausi;6.0
